camera,age,ram,cpu_score,slot_sd,sims,price
35,0,4,83,0,1,52036
85,1,8,58,1,2,25369
137,3,12,51,1,1,19795
116,0,2,47,1,2,12485
161,3,4,47,1,1,49669
21,1,4,100,0,2,10618
194,0,4,92,0,2,38143
63,2,8,84,0,1,37425
122,1,12,51,1,2,30673
14,2,8,100,1,2,17603
10,3,6,87,1,1,47696
118,3,4,72,1,2,13368
158,1,6,84,1,1,12621
114,3,16,65,0,2,66829
25,2,2,78,1,1,68294
45,0,2,67,1,2,22719
122,0,8,97,0,2,37227
22,0,12,44,1,2,51894
199,1,6,47,0,1,15566
126,3,12,64,0,1,20306
35,2,8,66,0,1,61822
46,3,2,85,0,1,32042
192,3,12,62,0,2,23086
24,3,12,69,1,2,25387
93,0,2,84,0,1,35042
133,2,6,86,0,1,31888
51,2,2,62,1,1,59618
32,3,12,88,1,2,34514
152,0,6,86,0,1,26323
20,0,6,59,1,1,26019
32,2,2,57,1,2,17890
75,0,12,57,0,2,48863
145,0,8,41,0,1,63417
74,0,12,43,1,2,53487
116,1,4,69,0,1,18283
153,3,16,72,0,2,26279
118,2,8,75,1,1,54999
118,2,6,57,0,1,30908
41,1,8,76,0,1,69584
118,3,6,58,0,1,68742
15,2,6,86,0,2,55466
175,0,8,67,0,2,58225
120,2,6,79,1,2,45952
90,0,6,59,1,2,43170
49,1,4,88,0,1,45663
176,0,12,72,1,1,64483
108,2,12,51,0,2,52172
13,2,16,97,0,2,69381
187,2,16,90,0,2,55929
33,1,4,54,0,2,17343
71,1,16,80,0,2,18637
194,3,8,78,1,1,42724
191,2,2,41,1,1,47791
66,0,2,68,0,1,37134
116,1,2,80,1,2,54830
128,2,4,49,0,2,55101
40,2,4,41,1,2,11907
188,1,6,90,0,2,41575
157,3,2,50,1,1,65530
28,1,8,52,0,1,54799
77,1,16,49,0,2,12827
119,0,8,53,1,1,38607
11,0,16,57,1,1,21699
101,3,2,90,0,2,45292
82,2,2,93,1,2,55961
197,1,2,48,0,2,33883
69,3,4,96,1,2,56991
101,0,16,78,1,2,59436
102,1,4,67,0,2,13313
159,2,4,42,1,1,21598
